Date,Open,High,Low,Close,Adj Close,Volume
2006-11-29,1680.572388,1723.439209,1665.958740,1690.314819,1690.314819,28303
2006-11-30,1724.413452,1753.640747,1698.108765,1698.108765,1698.108765,20578
2006-12-01,1714.670898,1731.720215,1676.675415,1710.773926,1710.773926,24104
2006-12-04,1717.106567,1731.720215,1669.855713,1695.186035,1695.186035,8460
2006-12-05,1683.008057,1704.441406,1635.757080,1697.621704,1697.621704,12794
2006-12-06,1698.108765,1715.158081,1698.108765,1702.492920,1702.492920,2346
2006-12-07,1723.439209,1723.439209,1702.492920,1707.364136,1707.364136,3868
2006-12-08,1707.851196,1707.851196,1704.928467,1707.364136,1707.364136,1776
2006-12-11,1707.851196,1712.235352,1705.902710,1707.364136,1707.364136,10233
2006-12-12,1707.851196,1767.280151,1706.876953,1719.542236,1719.542236,18037
2006-12-13,1734.155884,1762.408936,1724.413452,1730.745972,1730.745972,14632
2006-12-14,1734.642944,1748.769531,1732.207397,1740.488403,1740.488403,136325
2006-12-15,1751.205200,1756.563477,1724.900513,1749.256592,1749.256592,7263
2006-12-18,1764.357422,1783.355225,1756.076416,1760.947632,1760.947632,22948
2006-12-19,1763.870361,1767.767334,1746.821045,1759.973389,1759.973389,2902
2006-12-20,1756.563477,1768.254395,1754.614990,1760.460449,1760.460449,3448
2006-12-21,1766.793091,1768.254395,1756.076416,1763.383179,1763.383179,6067
2006-12-22,1766.793091,1777.509766,1753.640747,1761.921875,1761.921875,131612
2006-12-27,1781.406738,1797.481812,1768.254395,1785.790894,1785.790894,5843
2006-12-28,1801.378784,1836.451538,1794.559082,1836.451538,1836.451538,6609
2006-12-29,1881.753906,1937.285889,1865.678955,1937.285889,1937.285889,27388
2007-01-01,1937.285889,1937.285889,1937.285889,1937.285889,1937.285889,0
2007-01-02,1899.290405,1972.845825,1865.678955,1969.923096,1969.923096,18783
2007-01-03,2020.583862,2094.626465,1987.459473,2094.626465,2094.626465,16560
2007-01-04,2120.931152,2248.070068,2120.931152,2248.070068,2248.070068,27058
2007-01-05,2333.316406,2472.146240,2282.168701,2472.146240,2472.146240,27917
2007-01-08,2601.233887,2715.707520,2373.260498,2459.968262,2459.968262,57657
2007-01-09,2523.294189,2523.294189,2375.208984,2411.256104,2411.256104,59374
2007-01-10,2406.384766,2430.253906,2375.208984,2413.691650,2413.691650,10435
2007-01-11,2411.743164,2420.511475,2401.513672,2406.871826,2406.871826,6864
2007-01-12,2408.820313,2410.768799,2387.386963,2407.359131,2407.359131,5786
2007-01-15,2411.256104,2547.650391,2411.256104,2513.551758,2513.551758,16382
2007-01-16,2581.748779,2623.154297,2564.699707,2608.540527,2608.540527,13491
2007-01-17,2630.461182,2657.252930,2542.779053,2586.620117,2586.620117,7269
2007-01-18,2623.154297,2623.154297,2547.650391,2569.570801,2569.570801,40768
2007-01-19,2545.214600,2596.362549,2518.422852,2554.957031,2554.957031,6546
2007-01-22,2557.392822,2598.798096,2554.957031,2579.313232,2579.313232,4321
2007-01-23,2596.362549,2598.798096,2581.748779,2586.620117,2586.620117,3586
