Date,Open,High,Low,Close,Adj Close,Volume
2011-09-26,2.555555,2.629898,2.529535,2.570424,1.993723,22248980
2011-09-27,2.615030,2.740484,2.574141,2.724686,2.113375,22984072
2011-09-28,2.702383,2.778585,2.693090,2.742343,2.127071,12160028
2011-09-29,2.742343,2.875232,2.704242,2.855717,2.215008,14802609
2011-09-30,2.841777,2.917979,2.740484,2.761858,2.142207,13801121
2011-10-03,2.710747,2.736767,2.690302,2.715393,2.106167,56987252
2011-10-04,2.701454,2.815757,2.652201,2.773009,2.150857,10167394
2011-10-05,2.816686,2.823191,2.769292,2.821333,2.188339,5564437
2011-10-06,2.829696,2.927272,2.792525,2.922626,2.266906,8509656
2011-10-07,2.926343,3.022989,2.888242,2.988605,2.318081,11279095
2011-10-10,2.983959,3.061090,2.923555,3.061090,2.374304,4851920
2011-10-11,3.051797,3.103838,2.964444,2.973737,2.306549,6857239
2011-10-12,2.994181,3.062020,2.964444,3.010908,2.335380,4887691
2011-10-13,2.991393,3.043434,2.991393,3.016484,2.339706,4645300
2011-10-14,3.016484,3.098262,3.016484,3.056444,2.370700,4769387
2011-10-17,3.066666,3.113131,3.066666,3.083393,2.391603,3743607
2011-10-18,3.066666,3.072242,2.993252,3.020201,2.342588,4391868
2011-10-19,3.017414,3.044363,2.978383,3.008121,2.333219,3186908
2011-10-20,2.983959,3.100121,2.983959,3.003474,2.329615,5677271
2011-10-21,3.010908,3.113131,2.988605,3.095474,2.400974,3315954
2011-10-24,3.109414,3.122424,3.067595,3.075959,2.385837,3688474
2011-10-25,3.066666,3.113131,3.024848,3.103838,2.407460,5738681
2011-10-26,3.103838,3.131717,3.075959,3.122424,2.421876,4639332
2011-10-27,3.159595,3.159595,3.044363,3.103838,2.407460,6013782
2011-10-28,3.127999,3.140080,3.075959,3.094545,2.400253,7252463
2011-10-31,3.075959,3.139151,3.049009,3.071313,2.382232,4124896
2011-11-01,3.025777,3.066666,2.936565,2.972807,2.305828,6256181
2011-11-02,3.016484,3.095474,2.956080,3.024848,2.346193,5484001
2011-11-03,2.983030,3.088969,2.974666,3.020201,2.342588,6132166
2011-11-04,3.021131,3.065737,2.964444,2.990464,2.319523,5328756
2011-11-07,2.956080,2.977454,2.885454,2.973737,2.306549,4555413
2011-11-08,2.988605,3.057373,2.975595,2.990464,2.319523,5327090
2011-11-09,2.983959,3.020201,2.893818,2.911474,2.258255,3953833
2011-11-10,2.884525,2.955151,2.862222,2.892888,2.243840,2132383
2011-11-11,2.890100,2.969090,2.878949,2.959797,2.295737,2096874
2011-11-14,2.965373,2.973737,2.852929,2.855717,2.215008,3221453
2011-11-15,2.788807,3.019272,2.788807,2.942141,2.282042,10057937
2011-11-16,2.943999,3.085252,2.937494,3.048080,2.364213,5798193
2011-11-17,3.066666,3.092686,2.996040,3.013696,2.337543,4207748
2011-11-18,3.019272,3.030424,2.970020,3.010908,2.335380,1715125
2011-11-21,2.992323,3.066666,2.936565,3.003474,2.329615,3564678
2011-11-22,3.001616,3.055515,2.844565,2.876161,2.230865,4782158
2011-11-23,2.858504,2.992323,2.858504,2.903110,2.251768,3308177
2011-11-24,2.909616,2.954222,2.871515,2.883595,2.236631,2702201
2011-11-25,2.876161,2.904040,2.733050,2.778585,2.155182,4313776
2011-11-28,2.799959,2.963515,2.787878,2.930060,2.272671,4082156
2011-11-29,2.927272,2.973737,2.912403,2.936565,2.277717,1984583
2011-11-30,2.945858,3.112201,2.917050,3.112201,2.413947,16419925
2011-12-01,3.117777,3.251595,3.085252,3.194908,2.478098,7427377
2011-12-02,3.196767,3.224646,3.128929,3.146585,2.440617,4528347
2011-12-05,3.159595,3.187474,3.094545,3.116848,2.417552,3418351
2011-12-06,3.103838,3.153090,3.034141,3.041575,2.359167,2734150
2011-12-07,3.094545,3.131717,3.001616,3.101050,2.405298,4947042
2011-12-08,3.130787,3.159595,2.950504,2.989535,2.318803,4079030
2011-12-09,3.038787,3.094545,3.006262,3.043434,2.360609,4013738
2011-12-12,3.066666,3.101050,3.030424,3.072242,2.382954,2123952
2011-12-13,3.100121,3.101979,2.995110,3.006262,2.331777,3518495
2011-12-14,3.027636,3.097333,2.977454,2.995110,2.323127,3516239
2011-12-15,2.992323,3.015555,2.914262,2.929131,2.271951,4701932
2011-12-16,2.959797,3.018343,2.929131,2.955151,2.292133,4798005
