Date,Open,High,Low,Close,Adj Close,Volume
2012-12-18,2.057000,2.112000,2.043000,2.112000,1.894609,1367301
2012-12-19,2.149000,2.294000,2.135000,2.294000,2.057875,2433641
2012-12-20,2.224000,2.312000,2.160000,2.290000,2.054286,1617612
2012-12-21,2.260000,2.340000,2.250000,2.340000,2.099140,2215498
2012-12-24,2.380000,2.467000,2.352000,2.426000,2.176288,2332414
2012-12-27,2.430000,2.500000,2.315000,2.324000,2.084787,2262160
2012-12-28,2.309000,2.310000,2.156000,2.300000,2.063257,2033604
2012-12-31,2.340000,2.389000,2.278000,2.340000,2.099140,740843
2013-01-02,2.430000,2.497000,2.399000,2.448000,2.196023,1460715
2013-01-03,2.457000,2.495000,2.370000,2.390000,2.143994,990858
2013-01-04,2.428000,2.450000,2.390000,2.430000,2.179876,694969
2013-01-07,2.430000,2.600000,2.430000,2.593000,2.326098,2814001
2013-01-08,2.579000,2.690000,2.520000,2.581000,2.315334,1230321
2013-01-09,2.600000,2.670000,2.465000,2.475000,2.220244,3798803
2013-01-10,2.500000,2.511000,2.351000,2.390000,2.143994,3924791
2013-01-11,2.420000,2.425000,2.318000,2.318000,2.079405,1772381
2013-01-14,2.341000,2.374000,2.200000,2.203000,1.976242,4378106
2013-01-15,2.201000,2.210000,2.129000,2.149000,1.927800,4889469
2013-01-16,2.149000,2.179000,2.145000,2.160000,1.937668,1169986
2013-01-17,2.170000,2.229000,2.151000,2.215000,1.987007,2646539
2013-01-18,2.225000,2.265000,2.170000,2.190000,1.964580,2098184
2013-01-21,2.190000,2.190000,2.137000,2.154000,1.932285,2361627
2013-01-22,2.170000,2.180000,2.142000,2.159000,1.936771,2244765
2013-01-23,2.174000,2.175000,2.152000,2.165000,1.942153,1850049
2013-01-24,2.180000,2.215000,2.171000,2.200000,1.973551,1730364
2013-01-25,2.215000,2.218000,2.149000,2.189000,1.963683,1977441
2013-01-28,2.200000,2.227000,2.182000,2.183000,1.958300,1707101
2013-01-29,2.180000,2.180000,2.150000,2.151000,1.929594,2023409
2013-01-30,2.165000,2.174000,2.046000,2.094000,1.878461,2077302
2013-01-31,2.081000,2.089000,1.980000,1.980000,1.776196,3060922
2013-02-01,1.974000,1.985000,1.880000,1.896000,1.700842,4485689
2013-02-04,1.917000,1.946000,1.840000,1.840000,1.650606,3406288
2013-02-05,1.840000,1.865000,1.820000,1.834000,1.645223,2367206
